province,city_name,city_code,rain24h
湖北省,十堰,BREJr,23.0
广西壮族自治区,防城,jOvlz,22.1
内蒙古自治区,新巴尔虎右旗,GVqqU,21.1
湖南省,宁乡,vRUXM,19.1
陕西省,麟游,oxLal,18.1
海南省,万宁,TtrxS,16.6
陕西省,白河,eIovq,15.8
湖北省,郧西,dqXoc,15.5
湖北省,郧阳,MdlIv,15.3
湖北省,竹山,ZVetP,14.5
河南省,淅川,iamyl,12.8
河南省,栾川,mcJvP,11.6
广西壮族自治区,钦州,jPyoz,11.3
四川省,阆中,rEyHe,10.7
河南省,内乡,RWzAc,10.2
陕西省,扶风,tcQyi,10.1
陕西省,丹凤,HrPSf,10.0
陕西省,紫阳,qujSt,10.0
陕西省,山阳,EGeZr,10.0
四川省,巴中,UxUlc,9.7
湖北省,南漳,qCEfB,9.5
陕西省,岐山,qmPpg,9.4
四川省,南江,viieF,9.4
湖南省,桃江,rJTxk,9.3
湖北省,夷陵三峡,bTPcC,9.3
湖北省,兴山,zevgq,9.1
湖北省,恩施,zKHUp,9.1
四川省,平昌,VdEKs,9.0
陕西省,商州,bwUtG,8.9
湖北省,秭归,VQNUU,8.6
陕西省,南郑,FNBBc,8.6
湖北省,丹江口,ztads,8.6
四川省,苍溪,QNApE,8.4
湖北省,谷城,WjbHS,8.4
陕西省,彬州,oodKU,8.3
陕西省,旬阳,uEVEn,8.2
四川省,前锋,cRHwZ,8.1
湖北省,老河口,DBJmD,8.0
湖北省,宜城,WAkbT,8.0
湖北省,襄阳,fTXja,7.8
陕西省,宜君,rURnf,7.7
四川省,大竹,mFxpi,7.7
陕西省,汉中,cASRq,7.7
河南省,登封,QjeZO,7.6
河南省,宜阳,zNQnV,7.5
河南省,伊川,HbtHa,7.5
四川省,万源,CitjR,7.4
河南省,鲁山,HcTiH,7.4
重庆市,城口,eavwd,7.3
四川省,兴文,ETYKD,7.2
陕西省,兴平,exydQ,7.2
陕西省,凤翔,vNkSA,7.1
湖北省,建始,SRuMv,7.1
陕西省,旬邑,HWqri,7.1
湖北省,远安,nRCDs,7.0
陕西省,延安,gtpZu,7.0
河南省,西峡,rzsUT,6.9
陕西省,洛南,hmDhb,6.9
陕西省,商南,EbthY,6.8
陕西省,杨凌,EiWZj,6.8
湖北省,保康,oqWyH,6.8
陕西省,永寿,MqOdV,6.8
河南省,镇平,MqOfh,6.8
河南省,桐柏,WbHnL,6.8
贵州省,赤水,Fyafg,6.7
河南省,宝丰,nAcuJ,6.6
陕西省,镇坪,AsKPA,6.6
湖北省,房县,FEijB,6.6
湖北省,宣恩,FufZg,6.5
四川省,旺苍,yxsyn,6.5
河南省,邓州,ALlGb,6.5
重庆市,长寿,mDPjt,6.4
海南省,琼中,HgARP,6.3
陕西省,眉县,sczdz,6.2
广东省,潮州,CSTxF,6.2
河南省,卢氏,HzXJK,6.2
陕西省,榆林,eEPbq,6.2
陕西省,延川,HDzyP,6.2
陕西省,洛川,RrumW,6.2
陕西省,志丹,kTYbH,6.1
湖南省,赫山,ljEDf,6.1
重庆市,巫山,uSMWc,6.1
甘肃省,西峰,sXwtL,6.1
湖北省,宜昌,ekVpr,6.0
重庆市,綦江,ivlNL,6.0
河南省,南召,XQbzt,6.0
河南省,嵩县,WKgrt,6.0
陕西省,长武,RRVoo,6.0
陕西省,陈仓,XBggT,6.0
陕西省,淳化,jeBQU,6.0
陕西省,安塞,XKqRX,6.0
河南省,平顶山,nRecJ,6.0
湖北省,巴东,zJfzY,5.9
陕西省,甘泉,PWPqX,5.9
湖北省,随州,VHSxv,5.8
湖北省,枣阳,uGloJ,5.8
湖北省,公安,KekHK,5.8
甘肃省,正宁,impSE,5.7
福建省,屏南,hdkzx,5.7
甘肃省,宁县,lAmjf,5.7
河南省,郏县,hAfgu,5.6
四川省,华蓥,EjrYd,5.6
湖北省,随县,zMqDf,5.5
陕西省,宁强,bjqkU,5.5
湖北省,竹溪,ftxHu,5.5
陕西省,富县,QfWPS,5.5
陕西省,平利,yQbHi,5.5
河南省,南阳,vRweN,5.5
河南省,新郑,kpoPZ,5.4
河南省,泌阳,ftgII,5.4
河南省,临颍,iTyXp,5.4
湖北省,云梦,PLBSr,5.3
四川省,邻水,EhvQh,5.3
陕西省,宝鸡,jrjXm,5.3
河南省,洛宁,HaOBO,5.3
四川省,仪陇新政,hvews,5.3
陕西省,汉阴,TwYEu,5.3
陕西省,白水,lrIpm,5.2
四川省,营山,zzseP,5.2
湖北省,神农架,liRVu,5.2
陕西省,武功,dOgXs,5.2
湖北省,宜都,JHJWL,5.2
陕西省,礼泉,xZaaP,5.1
陕西省,秦都,IVixd,5.1
河南省,襄城,MyGEg,5.1
河南省,新密,LoaLx,5.1
湖北省,钟祥,FLmyq,5.1
陕西省,清涧,prSPO,5.1
四川省,合江,DprjI,5.1
甘肃省,庆城,eWgYP,5.0
陕西省,泾阳,UuKku,5.0
广西壮族自治区,乐业,fvIzP,5.0
四川省,西充,PtFdY,5.0
陕西省,安康,RprEI,5.0
河南省,许昌,ZzMTA,4.9
甘肃省,灵台,jxyvf,4.9
重庆市,开州,DYoqI,4.9
湖北省,孝感,CQLZw,4.9
陕西省,华山,cKPRS,4.9
湖北省,天门,WxkfH,4.9
河南省,汝阳,onqmI,4.9
陕西省,岚皋,lpGJm,4.8
陕西省,周至,YGOXn,4.8
重庆市,万盛,PeJwF,4.8
四川省,通江,NcACM,4.8
湖南省,南岳,gMqBs,4.7
河南省,方城,NPIhR,4.7
河南省,中牟,KMtvV,4.7
河南省,社旗,oOUuS,4.7
四川省,古蔺,JkbCa,4.6
河南省,信阳,hdKHW,4.6
河南省,漯河,lncFZ,4.6
河南省,鄢陵,NbMuX,4.6
湖北省,应城,rGLMc,4.5
河南省,扶沟,Emcgf,4.5
陕西省,石泉,TlXfd,4.5
宁夏回族自治区,盐池,FsnjH,4.5
陕西省,佛坪,nXDqS,4.4
湖北省,夷陵,hVvAC,4.4
甘肃省,镇原,iBsYQ,4.3
陕西省,略阳,tKMDB,4.3
湖北省,鹤峰,aTFNA,4.3
湖北省,来凤,NNfJp,4.3
河南省,禹州,HFqwM,4.3
四川省,蓬安,CYTUn,4.2
湖南省,长沙市,zOenJ,4.2
湖北省,咸丰,KSDOF,4.2
陕西省,乾县,CqlHa,4.1
江西省,宜黄,RQClf,4.1
河南省,西华,GBJUE,4.1
湖北省,当阳,LwXQO,4.1
湖北省,咸宁,BokVQ,4.0
福建省,周宁,vSWUe,4.0
河南省,息县,tSCUn,4.0
陕西省,镇巴,RjpPA,4.0
陕西省,城固,aKKWU,4.0
湖北省,石首,NOyuq,4.0
安徽省,霍山,HMeMG,3.9
陕西省,吴起,cdFMC,3.9
陕西省,临潼,zRMYD,3.8
河南省,郑州,YVItN,3.8
重庆市,渝北,xFVYU,3.8
山西省,交口,RAxFj,3.8
河南省,新野,UcjEf,3.8
陕西省,千阳,lQoKf,3.7
